chr8	128032011	128806493	 HF2354
chr8	129573241	130968628	 HF2354
chr7	54929292	55441765	 HF2927
chr7	54910016	55158745	HF3016
chr7	55189107	55235603	HF3016
chr7	55240808	55377598	HF3016
chr8	128216468	130393662	HF3016
chr8	130401182	130405320	HF3016
chr8	130416078	130537190	HF3016
chr8	130560626	130693908	HF3016
chr8	130717776	131148654	HF3016
chr8	131172024	131187476	HF3016
chr8	131199169	131340108	HF3016
chr8	131348437	131365459	HF3016
chr8	131373255	131411104	HF3016
chr8	131443982	131892876	HF3016
chr8	135219161	135991091	HF3016
chr12	57603753	57621879	HF3016
chr12	57639418	58215685	HF3016
chr7	54910016	55158745	HF3177
chr7	55189107	55235603	HF3177
chr7	55240808	55377598	HF3177
chr8	128216468	128494866	HF3177
chr8	128608023	128804027	HF3177
chr8	128821521	128901747	HF3177
chr8	128921637	128939392	HF3177
chr8	128966453	129030077	HF3177
chr8	129050386	129087164	HF3177
chr8	129138835	129275515	HF3177
chr8	129309690	129346561	HF3177
chr8	129771519	129813209	HF3177
chr8	129856581	129901946	HF3177
chr8	129950014	130369689	HF3177
chr8	130423550	130441106	HF3177
chr8	130664286	130694946	HF3177
chr8	130718851	130930542	HF3177
chr8	131048033	131148654	HF3177
chr8	131199169	131254686	HF3177
chr8	131262806	131287610	HF3177
chr8	131443982	131842476	HF3177
chr8	135219161	135246785	HF3177
chr8	135323700	135337092	HF3177
chr8	135345699	135372294	HF3177
chr8	135482680	135563156	HF3177
chr12	57603753	57621879	HF3177
chr12	57749466	57797657	HF3177
chr12	57872514	57906516	HF3177
chr12	57914344	57964995	HF3177
chr12	58136186	58161608	HF3177
chr12	58198004	58215685	HF3177
